楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Into The Madness,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9876357,1,1,0,0
Circulator,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9817518,1,1,0,0
悪戯センセーション,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9879125,1,1,0,0
ΩBIRD,MAXIMUM,17,EXCESSIVE COMPLETE,S,9925705,1,1,0,0
Get over!!,MAXIMUM,16,EXCESSIVE COMPLETE,S,9938195,1,1,0,0
Sweetest Paranoia,MAXIMUM,16,EXCESSIVE COMPLETE,S,9963257,1,1,0,0
諏訪大信仰,MAXIMUM,18,EXCESSIVE COMPLETE,S,9931442,2,2,0,0
DESIRE,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9842783,1,1,0,0
Little Big Princess(DJ katsu EDIT),MAXIMUM,16,EXCESSIVE COMPLETE,S,9905213,1,1,0,0
Atropa bella-donna,EXHAUST,16,EXCESSIVE COMPLETE,S,9954248,1,1,0,0
Atropa bella-donna,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9771075,2,2,0,0
Adrenaline Rush,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9874371,1,1,0,0
clear:wings,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9889240,1,1,0,0
Xicholauncher,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9810662,2,2,0,0
THE凸GENERATOR,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9809590,1,1,0,0
THE凸GENERATOR,MAXIMUM,19,COMPLETE,A+,9226689,4,4,0,0
シープドリーミン,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9817041,2,2,0,0
Chocolate Parade,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9841628,3,3,0,0
ツマミ戦隊 タテレンジャー,MAXIMUM,18,COMPLETE,AA,9456300,6,4,0,0
Tribal Trial,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9662658,3,3,0,0
Barbatos,EXHAUST,16,EXCESSIVE COMPLETE,S,9919623,1,1,0,0
Barbatos,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9699127,4,4,0,0
50th Memorial Songs -The BEMANI History-,VIVID,17,EXCESSIVE COMPLETE,AAA+,9839944,2,2,0,0
50th Memorial Songs -二人の時 ～under the cherry blossoms～-,VIVID,16,EXCESSIVE COMPLETE,S,9918630,1,1,0,0
50th Memorial Songs -Flagship medley-,VIVID,16,EXCESSIVE COMPLETE,AAA+,9897959,1,1,0,0
